,Emotion,Sentence
1340,Enjoyment,thứ ba mẹ cho con và con nhận thấy đó là sự đức hạnh tấm lòng cao cả cam on ba mẹ rất nhìu
1651,Disgust,nhìn mặt thấy hãm buồi rồi .
675,Enjoyment,hãy nên trân trọng những người bạn như vậy .
1010,Other,nhớ bộ phim thằng gù nhà thờ đức bà không ?
1591,Sadness,bây giờ nhìn vào cứ kiện tụng mà nãn :((
1612,Surprise,thiết kế tinh tế quá
1095,Sadness,tớ cũng muốn có mối tình như vậy ??
1858,Enjoyment,một bộ phim quá suất sắc
481,Anger,suốt ngày bị chửi ??
1909,Surprise,mình không hiểu tại sao nó không bị phóng điện chết nhỉ ?
886,Sadness,vì tao hay bị chúng nó chọc nên thấy buồn
660,Enjoyment,một bình luận của người trong cuộc . đọc xong thấy ấm lòng cho per !
1875,Disgust,chó nhà tao mới đi lạc 3 hôm thôi mà quên mẹ hết chủ rồi :vậy
51,Anger,"có hình ảnh rõ ràng kiện chúng nó tội quấy rối đi . mịe cái lũ khốn kiếp , hay ho lắm cái trò dơ bẩn 🤧🤧🤧"
1854,Surprise,nhà nó giàu vãi
944,Other,per quả lừa con chó ngoài bờ rào
1609,Surprise,wow đỉnh quá
454,Other,ước gì tao thất tình cũng được giống như mày
1639,Surprise,"cái kết thật bất ngờ , không thể đoán được vậy"
1878,Enjoyment,per nhìn mặt cưng gê
169,Other,là đứa quay video
163,Other,cái lò xô ngày xưa ma
778,Other,một chuyến du lịch vui vẻ
731,Enjoyment,😔😔 hành động nhỏ v thôi thì cũng ấm lòng rồi ... nói thôi cũng vuii rồi ... 😝😝
1393,Sadness,"chúng ta những tháng ngày sau đó vẫn gặp nhau , vẫn nói chuyện nhưng không phải những cô cậu của hồi c3 nữa . chúng ta đều khác"
708,Enjoyment,bé gái đáng yêuc quá :))). dth nữa
1943,Disgust,cho khỏi đá ở việt nam . gì mà căng
905,Disgust,hình thức này .. là chúng nó đang huỷ hoại mầm mống tương lai của đất nước đấy
1275,Sadness,trông tội quá
666,Other,"hai con ma đấu đầu , con mũ đen ăn toàn cứt nên đanh hơn ?"
447,Other,"nó mừng kiểu nhảy vồ lên dơ đồ thôi , chứ dòng này gặp ai cũng mừng"
590,Anger,per ghét ghê bây
1391,Sadness,"học chán phèo , chả có gì đáng nhớ"
158,Anger,"tao cảnh cáo , page mà đăng mấy video kiểu ngôn lù thế này tao unlike , trả per trả cụ lầy , trả anh thai cho tao"
1042,Other,chắc làm theo yêu cầu
212,Enjoyment,"coi 3 lần mà vẫn cười , phim hay nhân vật dễ thương"
1596,Sadness,per sự thích thể hiện của các bạn mà bóng đá per tốn một món tiền không nhỏ ! 😩🙏🤕
971,Disgust,"mất nhân tính ( tiền không phải tất cả , nhưng làm tất cả vì tiền )"
1521,Enjoyment,thớt là gu của tôi :))) yêu quá hiuhiu
927,Sadness,muộn rồi :)))
922,Enjoyment,thề lun anh ấy rất kĩ thuật lun á
1749,Enjoyment,per có sub rồi nè . má coi đi coi lại vẫn mắc cười . với đưa anh stk đi
967,Enjoyment,bt mà tao vẫn lạng lách ở đây suốt
996,Enjoyment,chỉ mong có người đến cuối đời vẫn yêu mình như ngày đầu tiên ❤
1755,Enjoyment,anh thíck kiểu tra tấn hằng ngày :)))
786,Other,tuổi thơ với nó đấy
1771,Surprise,vợ chồng nhà này mặc quần áo ngủ đôi à ??
277,Enjoyment,buồn cười nhất cái đoạn cã lũ bạn đồng thanh * chó nó lấy * 😂
424,Anger,"đúng rồi còn quay quay , lớ nga lớ ngớ xuống trách người ta . có phải bãi xe tự phát đâu mà người ta dám làm láo ."
1055,Disgust,dăm ba cái yêu đương vớ vẩn :))
748,Other,ủa tao đang coi cái gì v 😂
119,Other,tàn nhang là xác định nhá ??????
1796,Disgust,sao toàn gặp hãm không àh . gần nhất là thằng âm binh nhất
1031,Other,phe áo vàng thích điều này
534,Other,có khi giờ tỉnh rồi đéo dám xuống nữa
1235,Enjoyment,lại đến giờ giải trí rồi mềnh ơiiii per =)))))
823,Other,vừa xung điện tim xong ra ngoài bác sĩ lắc đầu =)) cả nhà tao đưa bác sĩ vô nằm kế tao
1364,Disgust,thói ích kỷ
1579,Disgust,thứ học sinh mất dạy =))
572,Anger,má tự dưng bị đánh vào đầu :(
1109,Enjoyment,mong ông bà nhiều sức khoẻ . đáng yêu thực sự 😍😍😍
1821,Disgust,nhìn gai vãi
1597,Disgust,đọc thôi cũng mệt
513,Sadness,có những ngày mọi thứ nó bỗng ập đến
785,Disgust,per thề :))) cười cơ mà tao nghĩ nó cũng đéo ổn tí nào đâu
1207,Sadness,chỉ khổ các con thôi !! sao người ta lại có thể mất nhân tính như vậy
1010,Enjoyment,cute vậyyyyy
645,Other,thế rồi cha lái xe có giả tiền không các bác
1362,Sadness,nàng ấy chả yêu ta gì cả
469,Sadness,1 năm không biết bao nhiêu lần x - quang :(
653,Fear,thôi xong tao rồi :((
1411,Enjoyment,chỉ cần nhìn họ thì đã thấy tim đập mạnh rồi =)))
241,Disgust,phú thọ tởm quá
1620,Surprise,smart phone thành cục gạch là có thật luôn hả ??
1455,Enjoyment,"3 idiots , bộ phim rất đáng xem"
1441,Sadness,nói gì thì tụi bây cũng không tin đâu ..😌😌
295,Other,per nhà mình cũng có nè
380,Other,bây giờ lại chơi trò đánh tư sản mại bản như ngày xưa đi nhể
1297,Sadness,anh đánh mất thật rồi
1748,Anger,đậu xanh tao giỡn mặt với mày hả
1130,Disgust,những cái đáng làm không làm những cái không đáng làm thì làm cho tới
662,Sadness,hình như sau boss bị chết ạ
654,Other,xong tao đưa mày uống nha
199,Enjoyment,may mà không mua laptop này không thì ăn lìn lâu rồi :(
1195,Sadness,nếu chịu khó đặt vào hoàn cảnh của nhau mà sống thì mọi chuyện đã đơn giản hơn rồi .
557,Anger,đéo đùa :))
689,Other,nhìn hình vẽ khẩu trang lại tưởng 1 con mắt =))))))))
753,Enjoyment,có đứa nào đéo giật mình như tao không :)))
135,Anger,"băng băng cái lol , chưa đóng vào mặt nhau là may rồi"
720,Sadness,"ôi mệt quá , một ngày buồn tẻ"
2,Fear,bố đi đường mà sợ quá
1431,Anger,bác sĩ mất dạy
116,Fear,disss giật hết cả mình .:))
1281,Sadness,có lẽ vì vậy nên moi thứ trở nên thật khó khăn lúc này :(((
16,Enjoyment,bà đã được sống 1 kiếp người hạnh phúc . mấy ai có được điều đó . ngưỡng mộ tình yêu ông dành cho bà .
1315,Enjoyment,sau khi có vợ anh per đã có đồ giả gái xinh và tinh tế hơn 😆
851,Enjoyment,"per đi coi với tao , phim này hay nhất định phải coi"
432,Enjoyment,đứng trước mặt nó tụt quần ra auto hết giận
1374,Enjoyment,haha đây là cổng chợ này ??
1640,Enjoyment,giống y con bạn tao :))) mặc dù nó không phải gvien hay gì cả nhưng nó khá trẻ trâu
665,Enjoyment,nói chuyện yêuu thế đmaaaa ??
1741,Enjoyment,dễ thương ghê . thằng quay phim cũng không phải dạng vừa ^^
47,Other,yên tâm đi ông trời không bất công với ai đâu
631,Sadness,ko biết crush bây giờ có ở nhà không nữa 😭😭😭😭
394,Enjoyment,là khi lạc giữa 1 biển người hôm khai giảng nhưng vẫn nhìn thấy người đó rõ nhất
452,Anger,đồ điên . quét đéo được thì lấy máy hút bụi hút mẹ hết đi . hét hét cái lol gì =)))
1073,Enjoyment,"hay ta , hay ta"
1539,Sadness,anh ấy không thương tao
1162,Other,mặc cái váy thì phải cạp lông lách chứ :)))
866,Sadness,nhìn lũ trẻ yêu nhau mà lòng già xao xuyến
570,Other,ai đã dùng nó bây giờ phải 50 tuổi rồi
1222,Enjoyment,"1 đoạn phim được trích ra tuy ngắn nhưng , chứa 1 thông điệp rất có tầm quan trọng"
419,Enjoyment,quan trọng là đỉnh ^.
1399,Enjoyment,đem người đó ra biển cho biển cuốn đi lun .. hihii
608,Anger,"hàng loạt các sai phạm , vi phạm diễn ra nhưng bộ giáo dục chưa đưa ra được biện pháp nào có hiệu quả chấm dứt các sự việc tiếp tục xảy ra"
1550,Anger,"trách nhiệm của con mẹ giáo viên chủ nhiệm là lớn nhất luôn , đuổi con mẹ nó việc đi"
899,Enjoyment,đúng rồi con gái là vậy mà kkk
1551,Sadness,tan tành rồi .
603,Sadness,chẳng biết nói gì . xem video em cười suốt mà lòng tôi không thấy vui tẹo nào . thương em
845,Anger,xử tử hiệu trưởng . nhà nước phải làm thẳng tay bọn chó
1729,Disgust,người ta mất 6 tháng để học lái xe nhưng lại mất cả đời để học văn hoá đỗ xe 😑
425,Other,ngày xưa nghèo . có bếp dầu là mai rồi .
475,Sadness,ba ́ o giâ ̣ tao ti ́ tao la ̀ mày hoa ̉ người loa ̣ n ngươ ̀ i dân . haizzz
608,Other,hãy tôn trọng quyền được mưu cầu hạnh phúc của mỗi cá nhân con người trên thế giới này đi . đừng kì thị họ ! tội lỗi lắm 🙂
1358,Enjoyment,"má .., ruồi bay qua táp chết tươi :)))"
1577,Enjoyment,per cái gì mình không làm được chứ đánh cái lũ đéo phải người thì mình làm tốt kkk
712,Other,per hèn gì thấy ngày nào anh cũng đi tập 😂😂😂
1903,Surprise,ẹc lông chân mày mọc nhanh dữ =.=
1038,Sadness,ngày xưa cũng vui lắm mà giờ mỗi đứa 1 nơi rồi
718,Enjoyment,per em cười mệt quá =))))
667,Disgust,móng tay gì mà nhìn vừa bẩn vừa ghê
253,Fear,"tuổi thơ của tao sợ nhất là con này , không làm gì mà nó cũng rược , suốt ngày thì kêu um sùm"
531,Anger,lần sau nhìn thấy hắt nước tiểu vào người nó ngay
1608,Enjoyment,bấy bề ơi . thật là đáng yêu
649,Other,tuỳ người tuỳ loại
535,Enjoyment,cư ́ như kiê ̉ u =))) ngươ ̀ i yêu
512,Anger,"thằng ác ôn , con nhỏ nhờ tháo mạng nhện thôi mà cũng không giúp , tao là móc gậy ra thọc .. à nhầm tháo mạng nhện ra liền .."
306,Fear,"hồi nhỏ đi học phải ngang qua nhà nuôi ngỗng nó dí chạy thấy bà luôn , ngày nào cũng phải cầm cái cây theo . thề luôn tới giờ tao vẫn còn sợ con này khiếp luôn 😭"
1168,Sadness,ăn cơm mốc có khả năng bị ung thư gan cao . hít
426,Enjoyment,bác này nói hay
1011,Other,mới sáng ra
107,Fear,"tao có một nỗi sợ khác cũng khá giống con yêu tinh này đó là con yêu nghiệt ngan đực :3 con này thành tinh hung ác vãi_chưởng , đi ra vườn đéo làm gì nó , nó cũng rượt mình . đậu ! đó là tao kể ngày bé thôi =) chứ lớn lên tao biết vơ cây củi theo để đi ra vườn rồi =))"
343,Enjoyment,cười vãi ???????? mặt con bé cũng hài ghê
1039,Disgust,"quán này chắc không đông , đang ăn mà thấy có mà ói"
995,Sadness,để nó vậy không thấy tội sao
508,Enjoyment,boss dễ thương hết sức
727,Other,nấu thì nấu được mà không biết có ăn được hay không thôi
760,Disgust,"dume tao từ giờ sẽ bỏ thích cái page này huhu , nghiệp mà"
1712,Disgust,đi xe cao mà ý thức thấp quá !
1185,Enjoyment,mình đã về đến nhà an toàn hihi
1768,Surprise,lông chân mọc nhanh thế :))
66,Fear,quá nguy hiểm .
1642,Enjoyment,ơ tao cũng học ông này hướng dẫn hay sao ấy :)))))
592,Sadness,và người đó đang ở nơi đâu về với em đi . đợi người rồi người sẽ đến chứ ?
1609,Disgust,bảo sao đi đâu ai cũng ghét =))
305,Disgust,"đã gọi là "" mật "" mà nó lại công khai cho mày xem àk"
260,Enjoyment,hahaa ngọt vãiii :))
35,Other,mơ chứ còn gì nữa 🙃
372,Enjoyment,per tìm được đối tượng nào để cầu hôn chưa :)))
1437,Sadness,dự là 30 mà 30 sợ già quá chả chó nào nó rước . năm nay đã 26 rồi mà vẫn chả ai thèm yêu 😔😔😔
1323,Sadness,nhìn em mà thương roi nói chuyện mắt
1676,Enjoyment,em vợ tao đấy :))
668,Enjoyment,"con bé xinh nhờ , khốn nạn là cái thằng edit video ý :)))"
1772,Surprise,1 lần chơi lớn xem thế giới có trầm trồ ??
1083,Enjoyment,per phim này thấy trailer hấp dẫn ghê 😁
1379,Enjoyment,ngồi nhìn nó ngủ cũng thấy dth vler đừng nói cười 😌
46,Fear,cái này ghê vãi mày sẽ hiểu cảm giác khi nó lún xuống 😅😅
295,Disgust,không thấy tên phim thì hỏi . ở đấy mà hội người mụ cái đéo gì . đã mất công ghi tên phim thì ghi cho đàng hoàng vào . bất lịch sự vậy !
539,Enjoyment,hèn dì mấy nay đi học thấy bạn của crush nhìn mình cười
1941,Surprise,wow vừa vẽ đẹp lại còn biết sáng tạo :))
348,Other,cái này đi móc cống thốn lắm nè
1125,Enjoyment,từ nay tôi quết định nuôi dưỡng con chim tôi tới già . và tôi mong được unesco công nhận kỳ quan thứ 8 của thế giới
227,Other,mình chỉ quan tâm cái quần bạn chồng mặc màu hường hình cô gái ????
921,Disgust,loại gái già mất dạy chách sao không dạy được con cháu .
287,Disgust,chộm chó đâu làm ăn như céc lúc cần thì chả thấy đâu
709,Enjoyment,thông minh hơi muộn nhưng vẫn kịp thông minh !
427,Sadness,cay đắng và mặn :(
1700,Enjoyment,cóc nào tao không có thích thầm đứa nào để đứng lại ngắm cái chỗ ngồi nhể 😗😗😗
558,Anger,nó sale còn 225k là được rồi :))) lời quá còn gì . mẹ mày per bình luận chi để nó nhận ra chi v 😂
745,Disgust,"loại này nó vậy , y con chó nhà mình .. hjjjj"
1801,Surprise,đỉnh vậy luôn hả
1416,Sadness,chẳng những hư xe mà còn bị phạt nặng nữa
211,Other,mẹ còn không trị được thì ai trị 😌
998,Sadness,tớ có thấy con ngáo đấy nhưng không dám lại sờ huhu tt
1043,Enjoyment,nhờ đó mà tôi cảm thấy nhẹ nhõm và trở nên mạnh mẽ
745,Enjoyment,tao ấn tượng anh đầm hường ghê 😂
133,Other,đứa nào bắt cóc nhỏ này thấy khổ vãi
1166,Sadness,đồng cảnh ngộ :(
1488,Enjoyment,ngọt hơn cả người yêu haaaaa
1147,Disgust,thôi mấy bác bị dắt mũi rồi . nghe đến đoạn au mobile là biết nó quảng cáo game trá hình rồi . như con cặc
1912,Enjoyment,đọc nhiều chuyện cổ tích vầy thấy yêu cuộc sống hẳn :))
1810,Disgust,bố mày lậy chúng mày đấy
1749,Surprise,mấy cái video của bọn này đóng hay vãi
1003,Enjoyment,"ở nói chuyện ngoài hộ không khì thị về giới tính , họ cho được kết hôn . chứ họ không kì thị như ở việt nam mình hai người kia họ thật dũng cảm khi sống thật với giới tính của mình"
347,Other,bà chủ tịch giả mang thai và cái kết
1066,Disgust,phạt 5 triệu ... pháp luật vn hay dữ
824,Sadness,phải chi có người để giận mình nhỉ :(((
987,Sadness,"per cần thêm những trái dâu xinh xắn để ngăn chặn sự u ám này , huhu"
501,Enjoyment,lúc nhỏ bà hàng xóm của tao bị dí chạy tới mức bã phải nhảy xuống sông bã lội trốn mà tụi nó cũng nhảy theo với bã 🤣
1801,Disgust,tao cũng có ghệ và tao cũng dị ứng mấy trường hợp mắc mệt giống vậy
689,Sadness,khổ thân em ý .
309,Enjoyment,không những hạnh phúc tao còn cứng nữa :))
90,Anger,"chỉ có bọn nông dân mới nghĩ ra mấy trò này , phải con cháu nhà tao thì tao đến từng nhà 1 bắt từng thằng ăn cứt"
1104,Disgust,kinh dị vãi 😖😖
93,Anger,phải là người yêu tao thì sống chết tao cũng vả hết
812,Disgust,vậy nên phải lịch sự và thổ con mẹ nó lộ với cả đống người chúc mừng mày thành trò cười thiên hạ
641,Enjoyment,đkm lại diễn rồi pr cho game aumobile chứ gì tuổi lol qua mắt tao =))
332,Other,"cà phê vần luôn cả với sa tế , thế là đủ vị đắng cay"
638,Sadness,chuẩn luôn :3 độc vô tình bắt gặp thôi cơ mà giờ tao bị ăn bơ rồi 😭
359,Enjoyment,có ai luyện mới được như mình không dạ
1895,Disgust,còn thằng súc sinh này
1913,Disgust,"lớp 1 tao đã bị nằm sấp lên bàn , bị đánh 20 - 30 cây vì tội viết chữ không có tiến bộ mà có dám hó hé gì đâu . còn học sinh giờ sắp thành hiệu trưởng hết rồi"
1805,Fear,hết hồn chim én
1952,Surprise,thật ư 😱😱😱
1302,Sadness,cô ấy không yêu tôi
1319,Sadness,ừ công nhận == không có tiền mua
916,Disgust,"xã hội giờ nguy hiểm quá . có khi cái con mẹ kia mới là người có ý định bắt cóc trẻ con ấy chứ , hoặc chỉ một câu trêu đùa quái ác như thế cũng đủ mệt"
1007,Other,nó ăn chay mà
380,Enjoyment,trò cười . :v
543,Enjoyment,đáng yêu vậy
1771,Disgust,người ta dùng con kiến bống . loại có chất axit có vị chua . chứ đéo ai dùng loại kiến đen cứt trâu này .
1268,Anger,"gặp tao là đéo nói nhìu , lùi xe ra rồ ga tông thẳng vào :))))"
193,Other,phải chi quán đầu tư cái máy hút bụi thì đỡ cho anh ấy quá =)))
1155,Enjoyment,cũng dể thương đấy chứ
1058,Other,thực ra ngoài mày nó còn quan tâm nhiều đứa nữa
1775,Surprise,anh quay phim giọng hơi cute nhỉ 😂😂😂
937,Enjoyment,cảm ơn bố !
1856,Enjoyment,nhìn đã thật
1922,Enjoyment,niềm vui của cđv việt nam đây mà
623,Enjoyment,tao thích vẽ . nhưng vẽ xấu từ đó chuyển hẳn sang mê chụp ảnh .
1208,Sadness,tạm biệt ông 😢
912,Enjoyment,khoảnh khắc nhận ra đồng nghiệp mình is the best :)) nguyễn ngọc thái hiền
741,Enjoyment,tao cười tao ỉa =)))))) hâhhahhahahahaha
449,Other,nên là có sắp chết tao cũng đéo kể cho ai nghe :)))
808,Sadness,tiền nhiều để làm gì ? để rồi lại chia ly
1143,Other,"và nếu có 1 người yêu mà chơi với nhiều thằng con trai thì hãy cẩn thận , mày có thể bị cắm sừng khi nào không hay"
1446,Enjoyment,thường thôi . hồi nhỏ tao nấu kiểu này hoài . nấu lun cái bếp nhà chú
565,Sadness,xỉu lên xỉu xuống :(
887,Enjoyment,để anh dẫn em đi ăn nha :))
1504,Sadness,tao đã khóc khi xem phim nay
141,Other,cây như cổ chân thì sao năng xuất . cại đủ tiền công không mà chia
683,Other,per một thời của chậy em mình nè
1060,Enjoyment,thiệt là dễ thương quá đi mất . 💕
972,Disgust,nhảy không lo nhảy còn quay quay
1705,Enjoyment,giòi béo lắm :))
1800,Surprise,"á đù , per ạ , chị em mềnh vừa làm thế"
938,Sadness,per trung thu đéo liên quan đến việc có gấu cho lắm bạn nhể .... nhưng mà lễ gì cũng thế thì đúng là bất hạnh mà huhu
615,Anger,per cản tao không tao chửi thề
735,Other,quả drama khi nàng say giấc là minh chứng rõ ràng nhất cho ví dụ trên =)))
1288,Sadness,tao hiểu rất rõ cảm giác của em ấy ....
547,Sadness,"tình đến , rồi tình cũng điii 🙂🙂🙂"
1177,Disgust,gớm không tưởng
809,Disgust,"phục nhất ông cưa móng tay mà không cần đeo bao tay và đeo khẩu trang , gặp tao là tao ói ngay từ khi thấy bộ móng này rồi ."
444,Anger,cảnh này gặp cũng nhiều rồi . dọn thấy mẹ luôn mà vẫn không sạch được . tức ghê . ức chế lắm . 1 lần thì không sao mà cả chục lần như vậy
79,Disgust,vô nhân đạo thật :(
1470,Sadness,"ngày em đến anh mất ngủ suốt mấy đêm vì vui sướng , ngày em nói dừng lại nước mắt anh rơi trên đường chạy về nhà"
1561,Enjoyment,có gì đâu bé vậy mới cool đó anh thích 😉😉😉
586,Other,tuổi thơ không có gì đặc biệt cho đến khi năm lớp 12 . nhớ cả cuộc đời cậu bạn ngồi cạnh
1834,Enjoyment,tính giải trí cao vãi 🤣🤣
1934,Disgust,cơm từ thiện không tốn tiền nên không biết quí trọng ý thức còn thấp quá
482,Enjoyment,"cảm ơn cha mẹ đã cho mình hình hài này , xin được khôn ngoan để đừng làm đau người khác"
1787,Surprise,hóa ra là vậy à =))
493,Anger,"tao cũng nghĩ là vậy , chứ ở đó mà mừng rồi nuôi đẻ . bố mày không thích ăn sừng , phắng 🤣"
687,Other,có quá nhiều lựa chọn trong một tháng
1210,Sadness,nguyễn thị hồng phấn cũng may tao không thấy cặp nao hêtd
1471,Other,nói thẳng mẹ nó là con kia gato cho xem :)))
1703,Enjoyment,"đi qua hết rồi mới nhận ra cấp 3 là thời tươi đẹp nhất của mình . ở đó có bố mẹ luôn đồng hành , có tình yêu học trò , có nghịch ngợm trốn học ... là quãng thời gian hồn nhiên vui vẻ nhất ."
335,Enjoyment,bếp củi 😂😂😂
1097,Sadness,:(( tội bé
1753,Disgust,ăn cho mập thây để chết phải đặt hòm riêng chứ bắt trộm hay cướp thì làm được gì .
620,Anger,"đéo biết ong rừng thật không nhưng đổ mà bắt em dọn thế à , xách mông xuống dọn đi ."
1587,Enjoyment,tuổi trẻ tài cao mà :))))))))
1133,Disgust,quay lip miệng chửi liên tục còn đăng mạng cho mọi người biết ... hài .
126,Other,sg chưa mưa đâu
458,Enjoyment,per cho vợ đi cầu này để giảm cân nhá 🤣🤣
983,Other,tôi đoán rằng ông này đã lấy vợ trước khi lên mặt trăng
169,Disgust,chả hiểu sao có phẫn nộ :)))
1493,Sadness,"nhìn cảnh 2 bố con hôn từ biệt , em bé cũng rướn mặt theo hôn bố mà chảy nước mắt , em bé như thế chắc không biết diễn , đúng là cảnh đẹp quá"
437,Other,per học hỏi nhé kkk
1657,Enjoyment,cái đoạn nướng cháy pizza để phốt công nhận là chuyên nghiệp thật :)
165,Fear,mỗi lần chạy xe ngang kv bình chánh là cảm thấy sợ
134,Fear,"ở trên mái sảnh nhà tao cũng có một con nhện mẹ tao bảo tao giết nó ( hờ hờ ) , còn bố tao bảo "" mày cứ đi qua là nó rơi giữa đầu """
456,Other,2 năm xa nhà rồi tao đéo được đi ????. năm sau nhất định đi
823,Sadness,có những ngày làm tới đâu là sai tới đó :)) muốn tát vào mặt hết sức
1270,Sadness,"per nhớ ngày tháng cta bên nhau ghê , giờ thì chả còn gì"
37,Disgust,thành phần nào cũng có :)) ăn hiếp con gái :)) thua cả súc sinh
534,Enjoyment,lò vi sóng đó hjhj
36,Fear,đàn bà ở nhà thế kia không sợ ngoại tình à ? tao đang lo vợ tao đây này
875,Other,không nỡ bỏ đi mấy thứ linh tinh thời đi học
764,Sadness,chưa cho ba mẹ được gì . vậy có quyền gì mà đòi phàn nàn về những thứ ba mẹ đã rành rụng bao nhiêu năm để lại cho mình
896,Other,per đợt này tao đi học full . nên để mấy hnua rảnh tao alo nha 😂😂
637,Enjoyment,"từ nhỏ tới lớn đi học toàn ngồi chung bàn với nam , toàn phải đương đầu chiến đấu với vạch phấn chia đôi bàn ghế . 🤣🤣"
994,Disgust,mày là con bé gái bố mày là con lợn nhé . khi con nào còn mở mồm bảo chỉ theo bạn bỏ zai thì bị ăn vả thế đấy =)))
242,Disgust,cái thứ súc vật
1013,Sadness,"đúng rồi , vàng là phải vàng mới có giá trị , vàng trắng làm gì có giá trị 😥"
581,Enjoyment,thế mới làm nên nghiệp lớn chứ
1031,Disgust,ảo tưởng là đây 😞
1026,Other,đúng bài của người việt thường dùng rồi
739,Enjoyment,họ đã cho ta có mặt ở trên cột đời này rồi còn gì bằng nữa chứ
931,Sadness,cả tết được có 400k :(
893,Anger,bắt được rồi cho bọn này đi chết đi để chúng nó sốn rồi làm hại người khác
572,Sadness,rất tiếc cho 1 bài quyền
1688,Surprise,wao đáng yêuc vậy chời ơiiii
1469,Disgust,có đéo gì mà kì thích thì đi . xin lỗi hơi thô 😊
1064,Enjoyment,đề kháng của tao với mọi loại thính rồi cơ 😂
1454,Disgust,ý anh là đụ em xong có con rồi ct á hả :vậy
1671,Surprise,vậy là xử xong rồi đó hả ? nhanh dữ
980,Sadness,tao cũng muốn học vẽ lắm :( cơ mà không có điều kiện để đi học
957,Disgust,má nhay :))
939,Other,hiền thì hiền thật đấy cơ mà quá ngưỡng nhịn thì bùng phát thôi 🙂
387,Disgust,bất hạnh qué gì . trung thu thì liên quan mẹ gì đến việc có gấu . tào lao
1774,Surprise,sao lại ga lăng z được ta
59,Other,per chịu khó đọc trong này cũng được phết
1209,Sadness,đây là một câu chuyện buồn 🙁
80,Enjoyment,"bọn tàu copy kịch bản phương tây , chắc bữa sau lại có mấy video make in việt nam như vậy và kịch bản tàu haha"
1377,Sadness,"giờ nghĩ lại mới thấy vui thế , đến nay bạn bè lập gia đình cả rồi :((("
158,Other,"có thể trường học không trọng dụng bác ý nên bác ý không muốn về , ý kiến riêng em"
1875,Enjoyment,chuyên mục chọc chó cực mạnh à nhầm mèo kk
1395,Disgust,giọng mình thì như tát vào mặt người nghe
88,Fear,per tạo hóa thật đáng sợ :)))))
978,Sadness,hôm nay bạn đi làm . tiền đâu mà mua 😌
887,Sadness,"không được uống đã đành , ngồi dọn sấp mặt luôn , như con cáo và chùm nho xanh per"
540,Anger,sai còn không biết sửa còn thích giận lại . cút hộ
441,Sadness,"đau lòng vãi . cứ tưởng là đùa . ai ngờ , bồ nhau thiệt . ơ . tớ có sừng không"
398,Enjoyment,vừa thấy thương vừa buồn cười vãi :)))))))
697,Enjoyment,sở khanh như boss chịu liền .. đẹp trai quá trời ui
340,Fear,chính những người như thế họ rất cẩn trọng khi bật xi nhan đấy
1766,Disgust,video này là để động viên mấy đứa chán đời và cuộc sống này rất nhạt ahihi
105,Enjoyment,chiều mưa hứa tự sẽ tự đi mua đôi giầy mới 😂
33,Other,"cái khó ló cái khôn , yên tâm"
1861,Surprise,à thì ra là vậy
533,Other,ng anh em thiện lành đã rời việt nam . sayy goodbye 🌸
1142,Sadness,cần lắm những sẻ chia . cần lắm những thấu hiểu
962,Other,người ta chỉ hỏi hàng tháng bạn kiếm được bao nhiêu tiền chứ không hỏi công việc của bạn có làm cho bạn mệt nhiều không
925,Sadness,khi em nói 2 chữ muốn dừng là nước mắt không bao giờ ngưng . . . đau
1632,Enjoyment,ngưỡng mộ anh chị
495,Enjoyment,t còn được nghỉ 1 tuần :))))
908,Enjoyment,t cười đấy . thế tao thả haha nhé . mà dume đấy là cháu tao . thế bây giờ không có icon vừa khóc vừa cười à :]]
722,Disgust,"lúc trước tao đi thực tập cũng có làm bên dọn phòng được 1 tháng . đm kinh khủng lắm tụi bay , rác xả thì đéo nói nha , bcs vứt ngay trên giường :) dume sao chơi xong đéo nhét vào mồm ăn mẹ đi cho rồi"
604,Sadness,tao coi xong tao khóc .
1360,Sadness,thà chia tay rồi ghét hận nhau còn hơn là đang lúc dang dở thì mất nhau 🙂
1508,Sadness,xem mà rơi nói chuyện mắt khi ăn luôn 😭😭😢
1707,Enjoyment,đồng nai mùa chim nướng yên xe kaka
231,Other,con nhà người ta kbh làm bố mẹ mình thất vọng 😪
133,Fear,ờ công nhận đáng sợ vãi 😭
172,Fear,khiếp quá đi tụi con ơi
910,Sadness,có ai thấy tội ông cụ như tao không 😭
1775,Enjoyment,tao thề từ giờ đến cuối năm mà tao không lấy được vợ thì tao quyết định sag năm lấy 😊
953,Enjoyment,"per chị mày đánh lộn từ đầu làng đến cuối xóm thì cần chi bọn con trai , nhưng nhìn bọn nó dễ thương hén"
164,Disgust,có thể cấp phép những phim bạo lực . kinh dị nước ngoài . nhưng động phim nhà có chút bạo lực và máu me là cấm vì không đúng thuần phong mỹ tục
1418,Anger,hãm lol thật sự 😒
516,Enjoyment,giống y bố tao 🤣 ngoa khủng khiếp nhưng mà nhà tao vui vãi_chưởng 🤣🤣. điểm danh nhà bố học giỏi văn nào 🤦🏻‍♀️
229,Other,anh nói vậy với em lần nửa đi 🙃
1505,Sadness,không hiểu sao xem đi xem lại bao nhiêu lần vẫn khóc được
169,Anger,ad hỏi thế này thì có khác gì giữa thịt lợn và thịt chó ăn món nào ? ad hỏi thế này là hơi coi thường chị em đó 🤨
1194,Disgust,cục súc thiệt :))))
1468,Other,đợi chắc sang kiếp sau luôn quá 😂
